x,y,z
0.204697,-0.139854,-0.0515822
-0.228261,0.2755,0.160977
-0.144441,0.0537756,0.676584
-0.251875,-0.00962477,1.04854
0.165814,0.108725,0.8278
-0.190881,-0.455398,0.537697
0.233058,0.131251,0.782264
-0.108138,0.511751,-0.273033
0.0116017,-0.435163,0.384079
-0.252748,0.298508,1.02526
-0.404106,0.224242,-0.615712
-0.0567436,0.328722,0.194249
-0.0199063,0.669161,0.280433
0.00559868,-0.0434136,0.341836
0.0863583,-0.00559804,-0.28846
-0.0465376,-0.0456056,0.119325
-0.161058,0.0636135,0.0758501
0.257044,0.28862,0.638625
-0.0162682,-0.271516,-0.528497
-0.36444,0.0690971,-0.451512
0.280365,0.34462,-0.243491
0.110509,-0.447076,-0.161526
-0.00469244,0.0968232,-0.0215232
-0.169709,-0.204485,0.459696
0.076454,-0.632981,-0.247897
-0.418664,0.141469,-0.296508
0.0194724,-0.2776,0.187539
0.137725,-0.113681,0.314778
0.381735,0.324142,0.51498
0.255064,0.042834,-0.11556
-0.31094,-0.253848,0.504677
0.281539,0.0265721,0.0403072
0.227998,-0.0622208,0.213185
0.351816,-0.530845,0.0779201
0.193226,0.681117,-0.1325
0.158905,0.425455,-0.105275
-0.269816,0.553094,0.433562
0.1153,0.870921,-0.152402
-0.228747,-0.048853,0.563363
-0.548505,0.280022,0.85052
0.261821,0.122776,-0.605837
0.283749,0.317316,0.48356
0.185088,0.169797,-0.279517
0.0476218,0.252823,0.0232546
0.0542572,-0.29464,0.83694
0.116896,-0.635946,-0.227177
0.217477,0.086183,0.207476
0.115646,0.00270667,-0.0447046
0.0897171,0.559112,0.797908
-0.22457,-0.181398,-0.216143
0.663915,0.649617,0.376368
-0.0371673,-0.056518,0.227013
-0.18555,-0.208352,-0.415137
-0.2071,-0.112441,-0.148108
-0.144329,-0.0442608,0.298962
-0.0382499,0.303997,0.355181
0.305768,0.401235,0.616299
0.566489,0.132043,0.723968
-0.46057,-0.608607,0.0544693
-0.288907,-0.0190258,1.0027
-0.627508,0.472525,0.697173
0.0722864,0.129326,-0.439964
0.129015,0.0445764,-0.353622
-0.225414,0.642086,0.266615
0.593651,-0.431019,0.297819
0.15054,0.0921558,-0.0659378
-0.00796102,0.0516501,0.25431
0.177664,-0.0856233,1.10623
-0.209279,0.158621,0.848643
-0.479944,-0.173002,0.509126
-0.314553,0.106562,0.027449
-0.118608,0.328099,0.783504
0.135541,0.110829,0.0523404
-0.589444,-0.0308125,0.219416
0.059311,-0.000324765,-0.272532
0.130847,0.162423,-0.0609922
0.197348,-0.157247,-0.432333
-0.212069,-0.125078,-0.379134
0.380016,0.503699,-0.111186
0.0827981,0.244652,-0.266849
0.26871,0.473229,-0.447211
-0.16448,-0.13635,1.04319
0.421306,-0.671624,0.190067
0.298108,-0.0209657,-0.236947
0.0891777,-0.0606405,0.247101
0.122999,0.577695,-0.539789
0.209924,-0.0401682,0.159452
-0.339676,-0.0778985,0.735917
0.207925,0.248333,-0.413035
0.334958,-0.248292,-0.659628
-0.0678856,-0.0484296,0.172857
-0.122918,-0.354966,0.269158
0.20551,0.0632601,-0.555183
-0.344659,0.144821,-0.705137
-0.181032,0.23655,-0.103942
0.621939,0.172371,0.49966
0.0858337,-0.644738,0.19111
0.346494,-0.245635,-0.610122
-0.131496,0.13124,-0.0431239
0.0871292,0.0697239,0.0457545
0.0663814,-0.0563696,0.109594
-0.152915,-0.208992,-0.467714
0.406648,0.0211127,-0.381588
0.127934,-0.192702,-0.245632
0.17378,0.194192,-0.546687
-0.0224551,0.285396,0.781984
-0.119333,0.360991,0.157174
0.244407,-0.221614,0.770094
-0.263736,-0.0420334,0.307937
0.264988,-0.0200389,-0.00225149
-0.294352,0.0234698,-0.176723
-0.0525158,-0.0174464,0.872062
-0.0977798,-0.277332,-0.406736
-0.28184,0.0234374,0.0675196
-0.154108,-0.0829244,-0.182052
-0.155167,-0.298792,-0.0138785
-0.105031,0.108397,0.0659882
-0.32369,0.346128,0.42122
0.257509,0.0826023,1.05523
0.775472,-0.307161,0.16182
-0.0201275,0.174547,0.776578
0.143494,0.126596,0.224373
-0.274911,0.0210557,-0.133102
-0.587731,-0.0222114,-0.535796
-0.23635,-0.0746535,-0.107748
-0.432912,-0.373896,0.878241
-0.34615,0.727238,-0.113136
-0.653492,-0.0941021,0.627612
0.203684,0.0899867,0.0691085
0.000909204,0.232424,0.346597
-0.327173,0.15529,-0.0108299
-0.757342,-0.0633805,-0.0776311
0.474683,-0.261569,0.245625
0.150443,0.818453,-0.0927931
0.46215,0.406892,0.00685738
-0.0338066,0.240445,-0.410648
0.0970796,0.130182,0.317934
0.0377583,0.237486,0.467489
0.0223807,-0.0555609,0.234478
-0.123431,0.118763,0.270967
0.11873,-0.219187,0.810551
-0.38755,0.0391887,-0.324097
0.0760517,0.143628,0.486817
-0.231402,0.0245251,0.133013
-0.378737,-0.437053,0.392321
